id,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
doso1239,doso1238,doso1238,Doso,FALSE,language,vulnerable,-7.85806,142.656,dol,,,0,0,0,PG
dote1238,indo1319,nepa1254,Doteli,FALSE,dialect,safe,,,,,,0,0,0,
doty1234,indo1319,east1436,Dotyali,FALSE,language,safe,,,dty,,,0,0,0,NP
doug1241,afro1255,jonk1238,Dougne,FALSE,dialect,safe,,,,,,0,0,0,
doug1242,afro1255,malg1250,Douguia,FALSE,dialect,safe,,,,,,0,0,0,
doum1239,kiwa1251,sout2949,Doumori,FALSE,dialect,safe,,,,,,0,0,0,
doun1238,atla1278,turk1306,Douna,FALSE,dialect,safe,,,,,,0,0,0,
dour1238,atla1278,nort2770,Dourbeye,FALSE,dialect,safe,,,,,,0,0,0,
dour1242,afro1255,nort3046,Douroun,FALSE,dialect,safe,,,,,,0,0,0,
dout1239,lake1255,east2502,Doutai-Kai-Waritai,FALSE,family,safe,,,,,,0,5,0,
dout1240,lake1255,dout1239,Doutai,FALSE,language,severely endangered,-3.24832,138.22,tds,,,0,0,0,ID
down1239,sino1245,rive1256,Downriver Riverine Phula,FALSE,family,safe,,,,,,2,4,2,
down1240,sino1245,sout2728,Downward Southern Qiang,FALSE,dialect,safe,,,,,,0,0,4,
doya1240,atla1278,nort3259,Doyayo,FALSE,language,safe,8.68604,13.0768,dow,,,0,0,3,CM
dram1239,atla1278,tief1244,Nyarafo,FALSE,dialect,safe,,,,,,0,0,0,
dras1242,indo1319,asto1242,Dras,FALSE,dialect,safe,,,,,,0,0,0,
drav1251,,,Dravidian,FALSE,family,safe,,,,,,44,80,131,
drav1252,unat1236,unat1236,Dravidian (Unattested),FALSE,family,safe,,,,,,0,3,0,
dree1234,more1255,nama1270,Dre,FALSE,language,severely endangered,-8.5,141.68,,,,0,0,0,PG
dreh1238,aust1307,kheh1237,Drehet,FALSE,dialect,safe,,,,,,0,0,0,
dren1238,indo1319,lowg1239,Drents,FALSE,language,vulnerable,52.9024,6.51539,drt,,,0,0,2,DE NL
droo1238,afro1255,malg1250,Dro,FALSE,dialect,safe,,,,,,0,0,0,
drun1238,sino1245,guno1235,Drung,FALSE,language,vulnerable,28.00792,98.49449,duu,,,0,0,2,CN MM
druu1238,sino1245,tibe1272,Dru,FALSE,dialect,safe,,,,,,0,0,0,
dual1243,atla1278,dual1245,Duala,FALSE,language,safe,4.10208,9.61877,dua,,,0,0,4,CM
dual1244,atla1278,sawa1251,Dualaic,FALSE,family,safe,,,,,,2,5,4,
dual1245,atla1278,dual1244,Duala-Malimba,FALSE,family,safe,,,,,,0,2,4,
duan1242,aust1307,indo1326,Duano,FALSE,language,definitely endangered,1.56829,103.36,dup,,,0,0,0,ID MY
duau1237,aust1307,dobu1240,Duau,FALSE,language,safe,-10.187,151.218,dva,,,0,0,5,PG
dube1239,indo1319,indu1241,Duber-Kandia,FALSE,dialect,safe,,,,,,0,0,0,
dubl1239,indo1319,guja1256,Dubli,FALSE,language,vulnerable,21.5161,73.218,dub,,,0,0,0,IN
dubu1240,pauw1244,west2611,Dubu,FALSE,language,definitely endangered,-3.62591,140.768,dmu,,,0,0,0,ID
ducl1237,aust1307,bata1298,Ducligan Ifugao,FALSE,dialect,safe,,,,,,0,0,0,
dudh1239,aust1305,khar1287,Dudh Kharia,FALSE,dialect,safe,,,,,,0,0,0,
dudu1240,nucl1709,nuru1240,Duduela,FALSE,language,safe,-5.43119,145.642,duk,,,0,0,0,PG
dugb1238,atla1278,pyek1235,Dugbo,FALSE,dialect,safe,,,,,,0,0,0,
dugu1248,atla1278,diic1235,Dugun,FALSE,language,safe,8.38689,13.3966,ndu,,,0,0,2,CM
dugu1249,atla1278,jara1275,Duguri,FALSE,language,definitely endangered,10.05,10.21,dbm,,,0,0,4,NG
dugu1250,heib1242,otor1240,Dugujur,FALSE,dialect,safe,,,,,,0,0,0,
dugu1257,afro1255,birg1239,Duguri (Chad),FALSE,dialect,safe,,,,,,0,0,0,
dugu1258,afro1255,mere1246,Dugur,FALSE,dialect,safe,,,,,,0,0,0,
dugw1239,afro1255,meri1245,Dugwor,FALSE,language,safe,10.752,14.2134,dme,,,0,0,1,CM
duht1237,aust1307,tsou1248,Duhtu,FALSE,dialect,safe,,,,,,0,0,0,
duhw1236,afro1255,mund1337,Duhwa,FALSE,language,safe,9.32586,8.77995,kbz,,,0,0,0,NG
duit1239,chib1249,chib1269,Duit,FALSE,language,extinct,5.786798,-73.021374,,,,0,0,0,CO
duka1247,atla1278,cent2242,Northwestern Kainji,FALSE,family,safe,,,,,,3,5,16,
duka1248,sena1264,dera1245,Duka-Ekor,FALSE,dialect,safe,,,,,,0,0,0,
duka1249,huit1251,ocai1244,Dukaiya,FALSE,dialect,safe,,,,,,0,0,0,
duka1250,atla1278,duka1247,Duka,FALSE,family,safe,,,,,,1,3,12,
duke1237,aust1307,west2857,Duke,FALSE,language,safe,-7.97768,157.064,nke,,,0,0,0,SB
dukh1234,turk1311,kara1462,Dukha,FALSE,dialect,safe,,,,,,0,0,0,
dukp1238,atla1278,mids1243,Dukpu,FALSE,dialect,safe,,,,,,0,0,0,
duks1238,indo1319,sind1272,Dukslinu,FALSE,dialect,safe,,,,,,0,0,0,
dukw1238,heib1242,otor1240,Dukwara,FALSE,dialect,safe,,,,,,0,0,0,
dulb1238,atla1278,jaku1245,Dulbu,FALSE,language,severely endangered,10.1911,9.94759,dbo,,,0,0,0,NG
dulh1234,aust1307,east2470,Dulhi,FALSE,dialect,safe,,,,,,0,0,0,
duli1241,atla1278,unun9905,Duli-Gewe,FALSE,language,extinct,9.11241,13.4232,duz,,,0,0,0,CM
dull1239,afro1255,tran1283,Dullay,FALSE,family,safe,,,,,,0,2,6,
dulo1242,sino1245,nort3289,Duleng,FALSE,dialect,safe,,,,,,0,0,0,
dulo1243,sino1245,drun1238,Dulong River,FALSE,dialect,safe,,,,,,0,0,0,
duma1252,atla1278,kara1480,Duma (Karanga),FALSE,dialect,safe,,,,,,0,0,0,
duma1253,atla1278,ndja1235,Duma,FALSE,language,safe,-0.91927,13.0046,dma,,,0,0,0,GA
duma1254,aust1307,basa1286,Dumaring,FALSE,dialect,safe,,,,,,0,0,0,
duma1255,afro1255,anci1245,Dumaitic,FALSE,dialect,safe,,,,,,0,0,0,
dumb1240,indo1319,diml1238,Dumbuli,FALSE,dialect,safe,,,,,,0,0,0,
dumb1241,aust1307,extr1245,Dumbea,FALSE,language,vulnerable,-22.0947,166.531,duf,,,0,0,3,NC
dume1236,book1242,book1242,Dume,TRUE,language,safe,,,,,,0,0,0,ET
dume1239,afro1255,vame1236,Dume (Vame),FALSE,dialect,safe,,,,,,0,0,0,
dumi1241,sino1245,uppe1413,Dumi,FALSE,language,critically endangered,27.45849,86.75699,dus,,,0,0,4,NP
dumo1238,aust1307,mong1342,Dumoga,FALSE,dialect,safe,,,,,,0,0,0,
dumo1239,nucl1709,east2809,Dumo,FALSE,dialect,safe,,,,,,0,0,0,
